label,text
Acne,my skin has cystic lesions and comedones mainly on forehead and nose. this has been going on for 9 weeks now. it's mild but persistent.
Acne,Deep painful cysts under the skin with multiple blackheads on nose. I noticed this around 10 days back. This is the first time I've had this.
urinary tract infection,Stinging pain when peeing with dark cloudy urine and back pain. it's getting progressively worse. I've been more tired than usual. It started 8 days ago and hasn't improved.
Dimorphic hemorrhoids(piles),Burning sensation with blood in stool and tender lumps near rectum. it comes and goes. I've been feeling this way for about 14 days.
Acne,Deep painful cysts under the skin with multiple blackheads on nose. I noticed this around 9 days back. I've been more tired than usual.
Cervical spondylosis,chronic neck pain with numbness and tingling in my fingers. this has been going on for 7 weeks now.
Bronchial Asthma,tight chest with shortness of breath and whistling sound when exhaling. i noticed this around 8 days back. it comes and goes. i haven't been sleeping well because of this.
Jaundice,eyes are yellow with upper abdominal pain and general weakness.
Dengue,very high fever with severe headache pain behind the eyes and joint pain. i've been feeling this way for about 1 days. it fluctuates throughout the day.
Psoriasis,There are raised inflamed lesions on my skin covered with whitish scales. I noticed this around 6 days back. it's mild but persistent. My appetite has decreased.
Psoriasis,My nails have become pitted and ridged and I have plaques on my arms. I noticed this around 11 days back. it's quite severe.
Impetigo,spreading sores with yellow scabs on face that are mildly itchy. this has been going on for 12 weeks now.
Pneumonia,I can barely breathe with fever chills and coughing up thick mucus. it's getting progressively worse. I've been feeling this way for about 10 days.
Typhoid,i have sustained high fever for over a week with severe headache and fatigue. i tried home remedies but nothing helps.
peptic ulcer disease,recurring gnawing abdominal pain with nausea and feeling of fullness. i'm quite worried about it. it started 14 days ago and hasn't improved. it's moderate in intensity.
Malaria,fever spikes with violent shivering followed by drenching sweats. it started 5 days ago and hasn't improved.
Psoriasis,my skin has thick silvery scales and dry cracked areas that sometimes bleed. i noticed this around 7 days back. it's quite severe.
Jaundice,progressive yellowing of skin with itching fatigue and poor appetite. it's getting progressively worse.
Bronchial Asthma,episodes of difficulty breathing with audible wheeze triggered by allergens. it's quite severe. i've been more tired than usual.
gastroesophageal reflux disease,frequent heartburn with belching bloating and chest discomfort. this has been going on for 10 weeks now.
Hypertension,feeling of pressure in my head with fatigue and elevated bp readings. the symptoms are worsening daily. this has been going on for 4 weeks now. i tried home remedies but nothing helps.
Jaundice,Yellowish tint to skin and whites of eyes with nausea and fatigue. I noticed this around 10 days back. the symptoms are worsening daily.
Cervical spondylosis,Stiff neck with grinding sensation and headaches starting from the back of head. it's quite severe. This has been going on for 6 weeks now.
drug reaction,Skin eruption with fever and swollen lymph nodes after taking antibiotics. This has been going on for 7 weeks now. it comes and goes.
Pneumonia,fever with productive cough breathlessness and pain on deep inspiration. i noticed this around 6 days back.
diabetes,Unexplained weight loss with constant hunger tiredness and blurred vision. I had something similar years ago. it's getting progressively worse.
Pneumonia,severe cough with greenish phlegm high fever and chest pain when breathing. it fluctuates throughout the day.
diabetes,fatigue with polydipsia polyuria and recurrent infections. i noticed this around 2 days back. it's getting progressively worse. i also feel generally unwell.
Typhoid,Persistent fever with body aches chills and no energy to do anything. it's moderate in intensity. I noticed this around 10 days back.
Cervical spondylosis,chronic neck pain with numbness and tingling in my fingers. my family member had similar symptoms. i've been feeling this way for about 2 days. it fluctuates throughout the day.
Dimorphic hemorrhoids(piles),Painful lumps near the anus that bleed when I strain during defecation. I had something similar years ago. it comes and goes.
gastroesophageal reflux disease,Chest pain after meals with acid coming up into throat. It started 13 days ago and hasn't improved. it's mild but persistent.
Jaundice,My urine is very dark and skin looks yellowish with loss of appetite. it's quite severe. I noticed this around 9 days back.
peptic ulcer disease,Burning pain between meals with bloating belching and poor appetite. It started 11 days ago and hasn't improved. My family member had similar symptoms.
Jaundice,yellowing of eyes with fatigue nausea and abdominal pain on right side. i also feel generally unwell.
allergy,Skin rash with hives itching and swelling after eating certain foods. the symptoms are worsening daily. This has been going on for 10 weeks now.
Impetigo,my child has honey-colored crusty sores spreading on the face and hands. it's quite severe. my appetite has decreased.
diabetes,Unexplained weight loss with constant hunger tiredness and blurred vision. I've been feeling this way for about 3 days. I'm quite worried about it. it's quite severe.
Hypertension,My doctor said my blood pressure is very high and I get headaches daily. This has been going on for 9 weeks now. My family member had similar symptoms. the symptoms are worsening daily.
Malaria,Cyclical fever pattern with intense chills sweating and weakness. it's getting progressively worse. I've been more tired than usual.
urinary tract infection,I need to urinate constantly but only small amounts come out with burning. it comes and goes.
Varicose veins,bulging blue purple veins on my calves with occasional cramping at night. i've been feeling this way for about 10 days. the symptoms are worsening daily.
Varicose veins,i get heavy aching legs especially after standing for long periods. it's quite severe.
Jaundice,Yellowish tint to skin and whites of eyes with nausea and fatigue. This has been going on for 4 weeks now. It's affecting my daily routine.
Impetigo,itchy red sores with golden crusts on the skin around my nose. i had something similar years ago.
Psoriasis,Burning sensation on scaly red patches near my hairline and behind ears. it's moderate in intensity.
Dimorphic hemorrhoids(piles),painful lumps near the anus that bleed when i strain during defecation. this has been going on for 9 weeks now. it's quite severe.
diabetes,tingling in hands and feet with excessive thirst and frequent urination. i tried home remedies but nothing helps. i've been feeling this way for about 14 days.
Dengue,Acute fever headache myalgia and petechial rash on arms. it's quite severe. I noticed this around 13 days back. It's affecting my daily routine.
Pneumonia,Difficulty breathing with productive cough fever and sharp chest pain. I've been feeling this way for about 5 days.
Cervical spondylosis,neck pain and stiffness with pain radiating down to my shoulders and arms. this has been going on for 10 weeks now. i had something similar years ago.
drug reaction,Allergic skin reaction with blistering after taking painkillers.
Hypertension,Chronic headaches with face flushing and anxiety about elevated pressure. it's quite severe. It started 8 days ago and hasn't improved. I'm quite worried about it.
diabetes,Tingling in hands and feet with excessive thirst and frequent urination. it's moderate in intensity. It started 2 days ago and hasn't improved.
Migraine,Debilitating headache with light and sound sensitivity lasting hours. it comes and goes.
gastroesophageal reflux disease,persistent heartburn with globus sensation and epigastric burning. it's getting progressively worse.
Arthritis,my knees and fingers are swollen tender and difficult to move. this has been going on for 12 weeks now. it fluctuates throughout the day. i had something similar years ago.
Acne,I have pimples and blackheads on my face chin and forehead. I noticed this around 7 days back. I haven't been sleeping well because of this. it's getting progressively worse.
peptic ulcer disease,gnawing pain in upper abdomen with bloating nausea and vomiting. it's quite severe. i noticed this around 12 days back. this is the first time i've had this.
Acne,Painful red bumps and whiteheads breaking out on my cheeks and jawline. I've been feeling this way for about 5 days. it comes and goes. This is the first time I've had this.
Migraine,debilitating headache with light and sound sensitivity lasting hours. it's mild but persistent. i also feel generally unwell.
Dengue,High fever for three days with extreme fatigue joint pain and nausea. it's moderate in intensity. My appetite has decreased.
allergy,breaking out in hives with itching after contact with certain materials. this has been going on for 8 weeks now. it's moderate in intensity.
Impetigo,red sores on my face around nose and mouth that burst and form crusts. it's quite severe. i tried home remedies but nothing helps. i noticed this around 8 days back.
Pneumonia,high fever shaking chills and cough producing thick yellow mucus. it's moderate in intensity. it started 1 days ago and hasn't improved. i've been more tired than usual.
Psoriasis,burning sensation on scaly red patches near my hairline and behind ears.
Psoriasis,my nails have become pitted and ridged and i have plaques on my arms. it's mild but persistent.
Fungal infection,Circular rash with clear center and red scaly border on my torso. I've been feeling this way for about 6 days.
drug reaction,fever and skin rash with joint pain after starting new medicine. i've been feeling this way for about 7 days. i'm quite worried about it. the symptoms are worsening daily.
Dimorphic hemorrhoids(piles),itching and discomfort around the rectum with blood on toilet paper. it's affecting my daily routine. it's getting progressively worse.
Migraine,Debilitating headache with light and sound sensitivity lasting hours. This has been going on for 14 weeks now.
Impetigo,red sores on my face around nose and mouth that burst and form crusts. this is the first time i've had this. it started 3 days ago and hasn't improved.
drug reaction,Fever and skin rash with joint pain after starting new medicine. I haven't been sleeping well because of this.
Psoriasis,"I have red, scaly patches on my elbows and knees that are very itchy. I've been feeling this way for about 13 days. it's quite severe."
diabetes,increased appetite with weight loss blurry vision and slow wound healing. i've been feeling this way for about 6 days. i've been more tired than usual.
Common Cold,Stuffy nose with clear watery discharge and scratchy throat. It started 11 days ago and hasn't improved. My appetite has decreased. it comes and goes.
Jaundice,my urine is very dark and skin looks yellowish with loss of appetite. it comes and goes. this has been going on for 11 weeks now.
Cervical spondylosis,neck pain with dizziness and radiating arm pain with numbness. this has been going on for 4 weeks now. it's moderate in intensity.
Bronchial Asthma,my breathing gets worse with dust and cold air with chest tightness. i'm quite worried about it. i noticed this around 4 days back.
Dimorphic hemorrhoids(piles),Uncomfortable pressure and itching near anus with occasional bleeding. I've been more tired than usual. the symptoms are worsening daily.
Migraine,severe throbbing headache on one side with nausea and sensitivity to light. i had something similar years ago. it's mild but persistent.
Arthritis,bilateral joint swelling with tenderness and difficulty gripping objects. this has been going on for 14 weeks now.
gastroesophageal reflux disease,Burning in upper abdomen and chest with acidic taste especially at night. it comes and goes. This has been going on for 4 weeks now.
Common Cold,Stuffy nose with clear watery discharge and scratchy throat. I've been feeling this way for about 14 days. it's getting progressively worse.
Dengue,High temperature with retro-orbital pain and bleeding gums. I noticed this around 8 days back. This is the first time I've had this.
Dengue,High fever for three days with extreme fatigue joint pain and nausea. it fluctuates throughout the day. I noticed this around 4 days back.
Psoriasis,"I have red, scaly patches on my elbows and knees that are very itchy. it's quite severe. I'm quite worried about it."
Fungal infection,ring-shaped rash on my groin area with burning and peeling skin. this is the first time i've had this. it started 13 days ago and hasn't improved. it's mild but persistent.
Acne,Red inflamed papules and pustules on cheeks with excess oil production. the symptoms are worsening daily.
Psoriasis,my skin has thick silvery scales and dry cracked areas that sometimes bleed.
Fungal infection,itchy moist area in skin folds with reddish discoloration. i noticed this around 14 days back.
Typhoid,Persistent fever with body aches chills and no energy to do anything. It started 14 days ago and hasn't improved.
Cervical spondylosis,neck pain with dizziness and radiating arm pain with numbness. the symptoms are worsening daily.
Varicose veins,i get heavy aching legs especially after standing for long periods. it started 4 days ago and hasn't improved.
Arthritis,Joint pain and stiffness that gets worse with cold weather and inactivity. it's moderate in intensity. It started 8 days ago and hasn't improved. My family member had similar symptoms.
Impetigo,crusty skin lesions near mouth and chin that appeared after a scratch. i've been more tired than usual.
Typhoid,Fever that won't go down with poor appetite nausea and abdominal tenderness.
urinary tract infection,pain during urination with strong smelling urine and pelvic pressure. this has been going on for 5 weeks now. i also feel generally unwell. it's mild but persistent.
drug reaction,skin eruption with fever and swollen lymph nodes after taking antibiotics. i also feel generally unwell. i've been feeling this way for about 4 days. it's mild but persistent.
peptic ulcer disease,Burning abdominal pain with loss of appetite and unintentional weight loss. I've been feeling this way for about 5 days.
Varicose veins,My legs cramp at night and twisted veins are becoming more prominent. I had something similar years ago. I noticed this around 5 days back.
urinary tract infection,Constant urge to urinate with burning sensation and mild fever. I've been feeling this way for about 7 days. I also feel generally unwell. it fluctuates throughout the day.
Migraine,severe head pain that worsens with movement and accompanied by aura. i haven't been sleeping well because of this. it's moderate in intensity. this has been going on for 6 weeks now.
Migraine,pounding headache with extreme light sensitivity and need to lie in dark room. i've been feeling this way for about 1 days. i tried home remedies but nothing helps. it's quite severe.
Acne,I have pimples and blackheads on my face chin and forehead.
drug reaction,Skin eruption with fever and swollen lymph nodes after taking antibiotics. it's getting progressively worse.
gastroesophageal reflux disease,frequent heartburn with belching bloating and chest discomfort. i also feel generally unwell. it's mild but persistent.
Acne,hormonal breakouts along jawline with deep nodular lesions. it comes and goes. i noticed this around 1 days back. i had something similar years ago.
Acne,Red inflamed papules and pustules on cheeks with excess oil production. it's moderate in intensity. I've been more tired than usual. This has been going on for 2 weeks now.
Pneumonia,i can barely breathe with fever chills and coughing up thick mucus. it's getting progressively worse. i've been feeling this way for about 2 days. my family member had similar symptoms.
gastroesophageal reflux disease,Frequent heartburn with belching bloating and chest discomfort. My family member had similar symptoms.
Fungal infection,ring-shaped rash on my groin area with burning and peeling skin. it's getting progressively worse.
urinary tract infection,stinging pain when peeing with dark cloudy urine and back pain. this has been going on for 9 weeks now. it fluctuates throughout the day.
Fungal infection,itchy moist area in skin folds with reddish discoloration. i had something similar years ago. it's getting progressively worse. this has been going on for 5 weeks now.
Jaundice,my skin and eyes have turned yellow with dark urine and pale stools. it's moderate in intensity. i tried home remedies but nothing helps. it started 4 days ago and hasn't improved.
diabetes,unexplained weight loss with constant hunger tiredness and blurred vision. this has been going on for 1 weeks now. my family member had similar symptoms.
Arthritis,My joints are stiff and painful especially in the morning and it takes hours to loosen up. the symptoms are worsening daily. My family member had similar symptoms.
Jaundice,yellow discoloration of skin with itching and clay-colored stools. i haven't been sleeping well because of this.
Migraine,Severe throbbing headache on one side with nausea and sensitivity to light. it's getting progressively worse. I haven't been sleeping well because of this.
urinary tract infection,i need to urinate constantly but only small amounts come out with burning. i noticed this around 4 days back.
Varicose veins,bulging blue purple veins on my calves with occasional cramping at night. i noticed this around 6 days back.
Migraine,Severe head pain that worsens with movement and accompanied by aura. it's quite severe.
Varicose veins,My legs cramp at night and twisted veins are becoming more prominent. I had something similar years ago. I noticed this around 11 days back. it's quite severe.
Malaria,intermittent fever with chills nausea vomiting and muscle pain. i noticed this around 13 days back. the symptoms are worsening daily. i tried home remedies but nothing helps.
Bronchial Asthma,Wheezing attacks with rapid breathing and inability to catch my breath. It started 11 days ago and hasn't improved. it's quite severe.
Common Cold,stuffy nose with clear watery discharge and scratchy throat. i had something similar years ago. it's getting progressively worse. this has been going on for 6 weeks now.
urinary tract infection,Stinging pain when peeing with dark cloudy urine and back pain. My appetite has decreased.
Dengue,severe fever with break-bone pain rash and swollen lymph nodes. i've been feeling this way for about 1 days. it comes and goes.
Pneumonia,i can barely breathe with fever chills and coughing up thick mucus. this has been going on for 11 weeks now. i'm quite worried about it.
peptic ulcer disease,Burning pain between meals with bloating belching and poor appetite. I've been feeling this way for about 14 days. My appetite has decreased.
Common Cold,Nasal congestion watery eyes and occasional sneezing fits. It started 3 days ago and hasn't improved. it's quite severe.
Pneumonia,High fever shaking chills and cough producing thick yellow mucus. It started 5 days ago and hasn't improved.
Hypertension,Frequent dizziness headaches and shortness of breath on exertion. I tried home remedies but nothing helps. I noticed this around 12 days back. it's mild but persistent.
Arthritis,my knees and fingers are swollen tender and difficult to move. i also feel generally unwell. this has been going on for 6 weeks now. it's mild but persistent.
Dimorphic hemorrhoids(piles),Painful lumps near the anus that bleed when I strain during defecation. I've been more tired than usual. This has been going on for 3 weeks now.
drug reaction,Skin eruption with fever and swollen lymph nodes after taking antibiotics. it's quite severe. This has been going on for 14 weeks now.
Chicken pox,widespread itchy rash with blisters crusting over and new ones appearing. the symptoms are worsening daily. it started 12 days ago and hasn't improved.
drug reaction,Fever and skin rash with joint pain after starting new medicine. This is the first time I've had this. it comes and goes.
Pneumonia,chest tightness with painful breathing rapid heartbeat and cough with phlegm. it's affecting my daily routine. it's mild but persistent. it started 2 days ago and hasn't improved.
Typhoid,high temperature that keeps rising with abdominal discomfort and weakness. i noticed this around 1 days back.
Common Cold,Runny nose sore throat and general feeling of being unwell. it fluctuates throughout the day. I noticed this around 6 days back. I'm quite worried about it.
Impetigo,Crusty skin lesions near mouth and chin that appeared after a scratch. It started 3 days ago and hasn't improved. it's mild but persistent.
Migraine,Severe head pain that worsens with movement and accompanied by aura. I haven't been sleeping well because of this. it comes and goes.
Bronchial Asthma,My breathing gets worse with dust and cold air with chest tightness. it fluctuates throughout the day. I tried home remedies but nothing helps.
Acne,deep painful cysts under the skin with multiple blackheads on nose. this is the first time i've had this. it started 13 days ago and hasn't improved.
Dimorphic hemorrhoids(piles),pain during bowel movements with bright red blood and anal swelling. this has been going on for 1 weeks now. it's moderate in intensity.
Migraine,debilitating headache with light and sound sensitivity lasting hours. i noticed this around 13 days back. it's mild but persistent.
Dengue,High temperature with retro-orbital pain and bleeding gums. it's getting progressively worse. I'm quite worried about it. I noticed this around 2 days back.
Dimorphic hemorrhoids(piles),i have painful swelling near my anus with bleeding during bowel movements. it comes and goes. i also feel generally unwell. i've been feeling this way for about 2 days.
Bronchial Asthma,tight chest with shortness of breath and whistling sound when exhaling. i noticed this around 3 days back. this is the first time i've had this. it fluctuates throughout the day.
Fungal infection,itchy moist area in skin folds with reddish discoloration. i noticed this around 1 days back.
Hypertension,throbbing headache with visual disturbances and pounding heartbeat. it's getting progressively worse.
Acne,deep painful cysts under the skin with multiple blackheads on nose. i noticed this around 7 days back. it's quite severe. i'm quite worried about it.
Dimorphic hemorrhoids(piles),Swollen painful hemorrhoids that protrude during straining. it's mild but persistent.
Chicken pox,I have itchy red blisters all over my body with mild fever. It started 1 days ago and hasn't improved.
Typhoid,week-long fever with coated tongue muscle pain and general malaise. i noticed this around 11 days back. it's mild but persistent.
diabetes,i'm always thirsty urinating frequently and losing weight despite eating well. my family member had similar symptoms. it started 14 days ago and hasn't improved.
Migraine,pounding headache with extreme light sensitivity and need to lie in dark room. i haven't been sleeping well because of this. this has been going on for 3 weeks now. the symptoms are worsening daily.
Acne,hormonal breakouts along jawline with deep nodular lesions. this is the first time i've had this. it's moderate in intensity.
Varicose veins,legs feel heavy and tired with visible knotted veins and skin discoloration. i noticed this around 9 days back. it comes and goes.
Cervical spondylosis,chronic neck pain worse in the morning with shoulder blade discomfort. i've been feeling this way for about 1 days. the symptoms are worsening daily. i haven't been sleeping well because of this.
Malaria,High fever with rigors profuse sweating and extreme fatigue. it's getting progressively worse. This has been going on for 10 weeks now.
Cervical spondylosis,chronic neck pain worse in the morning with shoulder blade discomfort. it started 8 days ago and hasn't improved. it's getting progressively worse.
Psoriasis,My skin has thick silvery scales and dry cracked areas that sometimes bleed. it fluctuates throughout the day. It started 10 days ago and hasn't improved. My family member had similar symptoms.
Arthritis,Joint pain and stiffness that gets worse with cold weather and inactivity. I tried home remedies but nothing helps. it's quite severe.
Chicken pox,Red bumps that turned into tiny blisters with clear fluid and mild fever. I noticed this around 3 days back. it fluctuates throughout the day.
Impetigo,Red painful sores that became crusty and are spreading to other areas. It started 10 days ago and hasn't improved. the symptoms are worsening daily.
Fungal infection,white patches on skin with flaking and itching especially after sweating. it's moderate in intensity.
Pneumonia,difficulty breathing with productive cough fever and sharp chest pain. it's mild but persistent. this has been going on for 12 weeks now.
Fungal infection,Ring-shaped rash on my groin area with burning and peeling skin. It started 7 days ago and hasn't improved. This is the first time I've had this.
Fungal infection,White patches on skin with flaking and itching especially after sweating. I also feel generally unwell.
Dengue,Sudden high fever with muscle aches bone pain and skin rash. It's affecting my daily routine. it's moderate in intensity.
urinary tract infection,urgency to urinate with dysuria and suprapubic discomfort. my family member had similar symptoms.
Varicose veins,my ankles swell by evening and i can see enlarged veins on my thighs.
Dimorphic hemorrhoids(piles),burning sensation with blood in stool and tender lumps near rectum. i've been more tired than usual. it started 2 days ago and hasn't improved.
gastroesophageal reflux disease,burning sensation in my chest after eating with acid taste in mouth. it's getting progressively worse.
urinary tract infection,burning sensation when urinating with frequent urge to go and cloudy urine. this has been going on for 10 weeks now. it's quite severe. i had something similar years ago.
Cervical spondylosis,neck pain with dizziness and radiating arm pain with numbness. this has been going on for 2 weeks now.
urinary tract infection,Urgency to urinate with dysuria and suprapubic discomfort. I've been feeling this way for about 2 days.
Bronchial Asthma,shortness of breath with chest constriction and persistent dry cough. it's mild but persistent.
Jaundice,Eyes are yellow with upper abdominal pain and general weakness. it's getting progressively worse.
Cervical spondylosis,chronic neck pain worse in the morning with shoulder blade discomfort. my family member had similar symptoms.
Hypertension,persistent headaches with occasional nosebleeds and blurred vision. i've been feeling this way for about 9 days. it's getting progressively worse.
Varicose veins,My legs have swollen twisted veins that are very visible and painful. It started 13 days ago and hasn't improved. it's moderate in intensity.
Cervical spondylosis,neck pain and stiffness with pain radiating down to my shoulders and arms. it's moderate in intensity. i haven't been sleeping well because of this. i've been feeling this way for about 5 days.
Migraine,severe throbbing headache on one side with nausea and sensitivity to light. i've been feeling this way for about 6 days.
Acne,frequent breakouts with inflamed pimples and oily skin on my face. it's moderate in intensity. this has been going on for 2 weeks now.
drug reaction,Itchy raised welts with facial swelling following drug administration. I've been feeling this way for about 7 days. it comes and goes. It's affecting my daily routine.
drug reaction,Itchy raised welts with facial swelling following drug administration.
Fungal infection,Itchy moist area in skin folds with reddish discoloration. it comes and goes. This has been going on for 11 weeks now.
Dengue,Very high fever with severe headache pain behind the eyes and joint pain.
allergy,I have watery eyes runny nose sneezing and itchy throat after exposure to dust. I noticed this around 2 days back. It's affecting my daily routine.
gastroesophageal reflux disease,Chest pain after meals with acid coming up into throat. the symptoms are worsening daily. I've been feeling this way for about 14 days. My appetite has decreased.
Fungal infection,my feet have peeling itchy skin between the toes with a bad smell. i've been more tired than usual. this has been going on for 6 weeks now.
Arthritis,my knees and fingers are swollen tender and difficult to move. it comes and goes. this has been going on for 12 weeks now.
Impetigo,spreading sores with yellow scabs on face that are mildly itchy. it's moderate in intensity. it started 1 days ago and hasn't improved.
Common Cold,runny nose sore throat and general feeling of being unwell. i've been more tired than usual.
Impetigo,Spreading sores with yellow scabs on face that are mildly itchy. I've been feeling this way for about 9 days. It's affecting my daily routine.
Jaundice,Yellowing of eyes with fatigue nausea and abdominal pain on right side. My family member had similar symptoms. I noticed this around 3 days back.
Dimorphic hemorrhoids(piles),uncomfortable pressure and itching near anus with occasional bleeding. it's getting progressively worse. i tried home remedies but nothing helps. i noticed this around 10 days back.
Migraine,Severe throbbing headache on one side with nausea and sensitivity to light. I had something similar years ago. it's quite severe. I noticed this around 14 days back.
Fungal infection,Circular rash with clear center and red scaly border on my torso. I'm quite worried about it. it's getting progressively worse.
peptic ulcer disease,upper stomach pain worse on empty stomach with dark tarry stools. this has been going on for 8 weeks now. it's getting progressively worse.
drug reaction,i developed a rash and itching all over after starting a new medication. this is the first time i've had this. it comes and goes. i noticed this around 6 days back.
Cervical spondylosis,Stiff neck with grinding sensation and headaches starting from the back of head. It started 8 days ago and hasn't improved. it's moderate in intensity.
urinary tract infection,Frequent painful urination with foul smelling cloudy urine. I also feel generally unwell. This has been going on for 11 weeks now.
peptic ulcer disease,epigastric pain that wakes me up at night with acid reflux. it started 2 days ago and hasn't improved. i had something similar years ago. it comes and goes.
Impetigo,small blisters that break open and weep fluid forming thick crusts. i tried home remedies but nothing helps. this has been going on for 5 weeks now. it's getting progressively worse.
Cervical spondylosis,Neck pain with dizziness and radiating arm pain with numbness. I noticed this around 7 days back. it's quite severe.
Acne,Frequent breakouts with inflamed pimples and oily skin on my face. I'm quite worried about it. I've been feeling this way for about 1 days.
Varicose veins,swollen veins on my lower legs with itching and a burning sensation. i haven't been sleeping well because of this. it's quite severe. it started 7 days ago and hasn't improved.
Varicose veins,Legs feel heavy and tired with visible knotted veins and skin discoloration. My appetite has decreased. it's mild but persistent. I've been feeling this way for about 1 days.
Arthritis,my knees and fingers are swollen tender and difficult to move. this has been going on for 5 weeks now.
Psoriasis,itchy dry patches on my torso with shedding skin flakes for weeks. it's mild but persistent. my family member had similar symptoms.
Malaria,Cyclical fever pattern with intense chills sweating and weakness. it's mild but persistent.
Acne,my skin has cystic lesions and comedones mainly on forehead and nose. it fluctuates throughout the day. i've been feeling this way for about 12 days.
Pneumonia,Difficulty breathing with productive cough fever and sharp chest pain. it's mild but persistent. I've been feeling this way for about 3 days.
Pneumonia,sharp pain in chest when coughing high temperature and extreme fatigue. it's mild but persistent.
Dengue,high temperature with retro-orbital pain and bleeding gums. i've been feeling this way for about 14 days. the symptoms are worsening daily.
Impetigo,Itchy red sores with golden crusts on the skin around my nose. This is the first time I've had this. it fluctuates throughout the day.
Acne,red inflamed papules and pustules on cheeks with excess oil production. it started 3 days ago and hasn't improved.
Jaundice,yellow discoloration of skin with itching and clay-colored stools.
Acne,my skin has cystic lesions and comedones mainly on forehead and nose. it's mild but persistent. i haven't been sleeping well because of this. it started 12 days ago and hasn't improved.
Common Cold,i caught a cold with blocked nose coughing and mild headache. i tried home remedies but nothing helps. i noticed this around 3 days back. it's quite severe.
Jaundice,my urine is very dark and skin looks yellowish with loss of appetite. it comes and goes. i've been feeling this way for about 6 days.
Varicose veins,my legs have swollen twisted veins that are very visible and painful. i noticed this around 9 days back.
Varicose veins,Swollen veins on my lower legs with itching and a burning sensation. It's affecting my daily routine.
Arthritis,bilateral joint swelling with tenderness and difficulty gripping objects. my family member had similar symptoms. it started 8 days ago and hasn't improved.
Varicose veins,I have throbbing pain in my legs with spider veins spreading on my shins. I've been feeling this way for about 8 days. My appetite has decreased.
Dimorphic hemorrhoids(piles),Painful lumps near the anus that bleed when I strain during defecation. This has been going on for 14 weeks now. I tried home remedies but nothing helps.
peptic ulcer disease,recurring gnawing abdominal pain with nausea and feeling of fullness. this has been going on for 3 weeks now. it's moderate in intensity.
Bronchial Asthma,Episodes of difficulty breathing with audible wheeze triggered by allergens. it's mild but persistent. I noticed this around 4 days back.
diabetes,Increased appetite with weight loss blurry vision and slow wound healing. it fluctuates throughout the day. I also feel generally unwell. It started 9 days ago and hasn't improved.
drug reaction,Skin eruption with fever and swollen lymph nodes after taking antibiotics. This has been going on for 7 weeks now.
Migraine,severe head pain that worsens with movement and accompanied by aura. it started 7 days ago and hasn't improved. it's quite severe.
Pneumonia,Chest tightness with painful breathing rapid heartbeat and cough with phlegm. I had something similar years ago.
Acne,my skin has cystic lesions and comedones mainly on forehead and nose. it comes and goes. this is the first time i've had this. it started 14 days ago and hasn't improved.
drug reaction,fever and skin rash with joint pain after starting new medicine. it started 9 days ago and hasn't improved. i also feel generally unwell. it fluctuates throughout the day.
drug reaction,Itchy raised welts with facial swelling following drug administration. I noticed this around 5 days back.
Common Cold,I have a runny nose sneezing sore throat and mild cough. It started 2 days ago and hasn't improved. This is the first time I've had this.
Chicken pox,I have itchy red blisters all over my body with mild fever. I tried home remedies but nothing helps. it's quite severe.
Dimorphic hemorrhoids(piles),Swollen painful hemorrhoids that protrude during straining. I've been feeling this way for about 10 days. it's getting progressively worse.
Acne,Frequent breakouts with inflamed pimples and oily skin on my face. I had something similar years ago. it fluctuates throughout the day.
Psoriasis,"I have red, scaly patches on my elbows and knees that are very itchy."
Fungal infection,I have circular red patches on my skin with raised edges that are itchy. I've been more tired than usual. I noticed this around 5 days back. it comes and goes.
Hypertension,My doctor said my blood pressure is very high and I get headaches daily. I've been feeling this way for about 10 days. I'm quite worried about it.
Pneumonia,Difficulty breathing with productive cough fever and sharp chest pain. I've been more tired than usual. it's getting progressively worse. This has been going on for 11 weeks now.
diabetes,i'm always thirsty urinating frequently and losing weight despite eating well. my family member had similar symptoms. this has been going on for 12 weeks now. it's quite severe.
gastroesophageal reflux disease,Frequent heartburn with belching bloating and chest discomfort. it's getting progressively worse.
drug reaction,itchy raised welts with facial swelling following drug administration. i tried home remedies but nothing helps.
Typhoid,Prolonged fever with stomach pain diarrhea and loss of appetite. I noticed this around 11 days back.
Arthritis,Swollen painful joints in my hands and knees with reduced range of motion. This has been going on for 6 weeks now. it fluctuates throughout the day. My family member had similar symptoms.
Bronchial Asthma,Recurrent episodes of breathlessness with dry cough and wheezing. I'm quite worried about it. I noticed this around 4 days back.
Varicose veins,Legs feel heavy and tired with visible knotted veins and skin discoloration. I've been feeling this way for about 5 days.
Dengue,Sudden high fever with muscle aches bone pain and skin rash.
drug reaction,widespread rash with peeling skin and mouth ulcers from a drug. it's getting progressively worse. it's affecting my daily routine. i've been feeling this way for about 9 days.
Impetigo,red painful sores that became crusty and are spreading to other areas. i noticed this around 1 days back. i also feel generally unwell.
Impetigo,blisters that ooze and form yellowish brown scabs near the mouth. this has been going on for 13 weeks now. it's mild but persistent.
Typhoid,persistent fever with body aches chills and no energy to do anything. i've been feeling this way for about 5 days. it's moderate in intensity.
peptic ulcer disease,burning stomach pain that gets worse when hungry and better after eating. this has been going on for 5 weeks now. it fluctuates throughout the day.
Common Cold,persistent sneezing with congestion and post-nasal drip. it's quite severe. i've been feeling this way for about 8 days. i've been more tired than usual.
